Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
420000,3.9371514,1.1915687,3.0,7.0,2.0,4.0,2108.0,166.98799982070923,166.98799982070923,1.2919315,0.017247375,0.0002686963,0.18956544,0.008957585,1.0
430000,4.1591067,1.1871771,7.0,6.0,7.5,7.0,2796.5,208.66999912261963,208.66999912261963,1.4160278,0.02185676,0.0002679205,0.18930681,0.008931751,1.0
440000,4.2932444,1.177159,6.0,6.0,4.0,8.5,1833.0,152.42000052332878,152.42000052332878,1.2944515,0.017367465,0.00026713696,0.18904564,0.00890566,1.0
450000,4.636849,1.139497,10.5,12.5,7.0,6.0,1863.25,138.02999979630113,138.02999979630113,1.2129624,0.017921735,0.0002663643,0.18878809,0.008879931,1.0
460000,4.859398,1.1112269,7.5,1.0,3.0,3.5,4474.0,344.1900012008846,344.1900012008846,1.1267803,0.018953327,0.00026558762,0.1885292,0.008854067,1.0
470000,4.9403157,1.0883235,6.5,8.5,7.0,2.5,2605.2,209.0320001244545,209.0320001244545,1.210654,0.015064705,0.00026481468,0.18827157,0.008828328,1.0
480000,5.208277,1.0809357,6.5,8.0,13.0,5.5,1369.5,132.3600002527237,132.3600002527237,1.6761048,0.01766368,0.00026404555,0.18801518,0.008802716,1.0
490000,5.33055,1.0925226,12.5,6.0,9.0,12.0,2144.0,119.30666669209798,119.30666669209798,1.2522335,0.0153763965,0.000263272,0.18775734,0.008776957,1.0
500000,5.5456567,1.0335237,3.0,2.0,4.0,1.0,2561.2,230.76333172619343,230.76333172619343,None,None,None,None,None,1.0
510000,5.6951485,1.0020897,1.5,2.0,4.0,2.5,843.5,77.79500058293343,77.79500058293343,1.3087893,0.012962465,0.00026248922,0.18749638,0.00875089,1.0
520000,6.054315,1.0130064,6.0,8.0,4.0,6.0,1987.2,182.7320005595684,182.7320005595684,1.3845657,0.016403627,0.00026171748,0.18723916,0.0087251915,1.0
530000,6.1148047,1.0009078,4.5,1.5,10.0,3.5,3585.1666666666665,303.17333579808474,303.17333579808474,1.5832309,0.015076302,0.00026094308,0.18698102,0.008699404,1.0
540000,6.3917413,0.9781453,4.5,3.0,4.0,2.5,2323.75,206.05500003695488,206.05500003695488,1.3346981,0.015291501,0.00026017413,0.18672471,0.008673797,1.0
550000,6.527218,0.9582129,4.5,5.0,5.5,6.0,2240.0,207.74800125360488,207.74800125360488,1.5044674,0.018870829,0.00025940363,0.1864679,0.00864814,1.0
560000,6.7390127,0.9191867,5.0,4.0,6.5,2.5,908.75,103.84000086784363,103.84000086784363,1.2638899,0.014888964,0.0002586267,0.1862089,0.008622268,1.0
570000,6.884622,0.97280824,9.5,8.0,4.5,12.5,1376.6,146.79200034141542,146.79200034141542,1.4233934,0.016097229,0.00025785348,0.18595116,0.00859652,1.0
580000,7.077761,0.907743,7.0,3.0,4.0,3.0,3045.8,281.6360014528036,281.6360014528036,1.3719288,0.016022697,0.00025707856,0.18569285,0.008570715,1.0
590000,7.170775,0.8914668,4.5,5.5,2.5,2.5,2146.25,196.88500167056918,196.88500167056918,1.2651505,0.0127030695,0.00025630638,0.18543544,0.008545001,1.0
600000,7.2826056,0.91398996,6.0,4.5,6.0,7.5,1696.75,174.36000049114227,174.36000049114227,1.1478752,0.017228356,0.00025552968,0.18517655,0.008519137,1.0
610000,7.4349885,0.89712226,7.0,8.0,7.0,7.5,2725.25,255.63000071048737,255.63000071048737,1.2597337,0.020657094,0.00025475732,0.18491909,0.008493418,1.0
620000,7.6051364,0.88050497,6.0,8.0,6.5,7.5,2952.5,287.59500220417976,287.59500220417976,1.2445605,0.017121589,0.00025398468,0.18466154,0.008467688,1.0
630000,7.728363,0.8681113,9.0,4.0,7.0,6.0,1631.5,171.9050010740757,171.9050010740757,1.0237708,0.012631884,0.0002532079,0.18440261,0.008441823,1.0
640000,7.8326554,0.86493886,7.5,5.5,5.5,7.0,2344.5,243.73200001716614,243.73200001716614,1.1311715,0.018559972,0.00025243495,0.18414497,0.008416083,1.0
650000,7.9850674,0.86054057,11.5,9.5,5.5,4.0,2134.0,207.62000077962875,207.62000077962875,1.1070142,0.011736496,0.00025166202,0.18388733,0.008390343,1.0
