Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
530000,2.106582,1.7094795,1.0,1.0,1.0,2.0,None,None,None,None,None,3467.75,90.73000031337142,90.73000031337142,1.0
540000,2.2893918,1.551867,3.5,2.0,4.0,4.0,0.5673984,0.019885032,0.0002602485,0.1867495,0.008676275,3260.5714285714284,107.94285749750478,107.94285749750478,1.0
550000,2.3490825,1.5333326,3.0,1.5,1.5,2.5,0.8918525,0.01735563,0.000259477,0.18649232,0.008650583,2013.0,72.91600024700165,72.91600024700165,1.0
560000,2.549535,1.5451361,2.5,3.5,2.0,1.0,0.70199174,0.018228801,0.00025870255,0.18623418,0.008624794,1544.2,70.34800063371658,70.34800063371658,1.0
570000,2.731678,1.4403262,2.0,4.0,1.5,3.0,0.83534294,0.016191058,0.0002579311,0.18597703,0.008599104,1280.6,75.53200051784515,75.53200051784515,1.0
580000,2.8756027,1.4143704,3.0,6.0,5.0,3.0,1.0149541,0.014866065,0.00025715976,0.18571992,0.00857342,1857.3333333333333,90.10333393514156,90.10333393514156,1.0
590000,3.0630336,1.3802269,3.0,6.0,4.5,5.0,0.75353986,0.012572178,0.00025638408,0.18546134,0.008547588,2625.5,122.74666749189298,122.74666749189298,1.0
600000,3.2171352,1.394485,1.0,1.0,5.0,1.0,0.8528209,0.020524366,0.00025560902,0.185203,0.008521779,1954.0,111.05000035961469,111.05000035961469,1.0
610000,3.3581476,1.3321185,0.0,2.0,3.0,3.0,0.9435701,0.017488206,0.00025484042,0.18494682,0.008496185,867.8333333333334,58.516666700442634,58.516666700442634,1.0
620000,3.5451834,1.2934566,2.5,5.0,3.0,4.5,0.9764108,0.022099178,0.0002540631,0.18468769,0.008470301,1333.7142857142858,83.65428615467889,83.65428615467889,1.0
630000,3.758596,1.2763152,2.5,1.5,3.5,1.5,1.1805139,0.01569938,0.00025328557,0.18442851,0.008444408,2403.8571428571427,141.61428653981005,141.61428653981005,1.0
640000,3.9310217,1.299578,2.5,2.5,2.0,6.0,1.1981914,0.014967967,0.00025251467,0.18417156,0.008418738,1036.1666666666667,78.56333374977112,78.56333374977112,1.0
650000,4.176324,1.1962159,2.5,2.5,3.5,2.5,1.2151583,0.022157041,0.0002517424,0.18391412,0.00839302,901.0,63.533333937327065,63.533333937327065,1.0
660000,4.3480887,1.2039919,2.5,6.5,3.5,6.0,0.9624999,0.015494767,0.0002509729,0.1836576,0.008367395,1942.0,134.26250129193068,134.26250129193068,1.0
